title,creator,date,description,subject,location,latitude,longitude,source,objectid,type,format,language,rights,rightsstatement,reference_url,filename
Buruk Ölümler,Digital Ottoman Studies,2021-04-03,Vefatının ardından Adnan Ekşigil tarafından Birikim dergisinde hakkında yazılanlar.,Vefeyat;Adnan Ekşigil,İstanbul,41.1292562,28.88335172,Birikim Güncel,mg-1,Döküman,application/pdf,tr,https://www.acikgazete.com/buruk-olumler/,,https://digitalottomans.github.io/demo/item.html?id=1,mg-1.pdf
Arşive Ruh Veren Tarihçi: Mehmet Genç,Digital Ottoman Studies,2021-04,Vefatının ardından Mustafa Özel tarafından Derin Tarih dergisinde hakkında yazılanlar.,Vefeyat;Mustafa Özel,İstanbul,41.1292562,28.88335172,Derin Tarih,mg-2,Döküman,application/pdf,tr,https://www.derintarih.com/,,https://digitalottomans.github.io/demo/item.html?id=2,mg-2.pdf
&quot;Hac Yolunda Bir Karınca&quot;: Mehmet Genç,Digital Ottoman Studies,2021-03-19,Vefatının ardından Prof. Dr. Ayhan Aktar tarafından Diken dergisinde hakkında yazılanlar.,Vefeyat;Ayhan Aktar,İstanbul,41.1292562,28.88335172,Diken,mg-3,Döküman,application/pdf,tr,http://www.diken.com.tr/hac-yolunda-bir-karinca-mehmet-gencin-ardindan/,,https://digitalottomans.github.io/demo/item.html?id=3,mg-3.pdf
İlim Yolunda Bir Karınca,Digital Ottoman Studies,2016-01-18,2016 yılında Ayçe Örer tarafından hazırlanmış portre,Portre;Ayçe Örer,İstanbul,41.1292562,28.88335172,Gerçek Hayat,mg-4,Döküman,application/pdf,tr, http://www.gercekhayat.com.tr/portre/ilim-yolunda-bir-karinca/,,https://digitalottomans.github.io/demo/item.html?id=4,mg-4.pdf
İktisat Tarihinde Bir Müctehid: Mehmet Genç,Digital Ottoman Studies,2021-04,Vefatının ardından Asım Öz tarafından Kriter dergisinde hakkında yazılanlar.,Vefeyat;Asım Öz,İstanbul,41.1292562,28.88335172,Kriter,mg-5,Döküman,application/pdf,tr,https://kriterdergi.com/iktisat-tarihinde-bir-muctehit-mehmet-genc,,https://digitalottomans.github.io/demo/item.html?id=5,mg-5.pdf
Mehmet Genç&#39;in Ardından: Osmanlı Nasıl Yükseldi?,Digital Ottoman Studies,2021-03-20,Vefatının ardından İskender Öksüz tarafından MSAK dergisinde hakkında yazılanlar.,Vefeyat;İskender Öksüz,İstanbul,41.1292562,28.88335172,Milli Strateji Araştırma Kurulu,mg-6,Döküman,application/pdf,tr,https://millidusunce.com/misak/bir-omrun-adandigi-soru-osmanli-nasil-yukseldi/,,https://digitalottomans.github.io/demo/item.html?id=6,mg-6.pdf
Her Kâğıdın İki Yüzü Vardır,Digital Ottoman Studies,2021-04-16,Vefatının ardından Köln Başkonsolosluğu Eğitim Ataşesi Mustafa Gençer tarafından Star Gazetesi&#39;nde hakkında yazılanlar.,Vefeyat;Mustafa Gençer,İstanbul,41.1292562,28.88335172,Star Gazetesi,mg-7,Döküman,application/pdf,tr,https://m.star.com.tr/acik-gorus/her-kagidin-iki-yuzu-vardir-haber-1623708/,,https://digitalottomans.github.io/demo/item.html?id=7,mg-7.pdf
Mehmet Genç Hoca&#39;nın Ardından,Digital Ottoman Studies,2021-03-21,Vefatının ardından Kenan Eroğlu tarafından Ülkücü Yazarlar Derneği web sitesinde hakkında yazılanlar.,Vefeyat;Kenan Eroğlu,İstanbul,41.1292562,28.88335172,Ülkücü Yazarlar Derneği,mg-8,Döküman,application/pdf,tr,https://www.ulkuyaz.org.tr/kenan-eroglu-mehmet-genc-hocanin-ardindan/,,https://digitalottomans.github.io/demo/item.html?id=8,mg-8.pdf
Mehmet Genç Hoca&#39;nın Ardından Bir Akademi Muhasebesi,Digital Ottoman Studies,2021-03-29,Vefatının ardından Yasin Aktay tarafından Yeni Şafak Gazetesi&#39;nde hakkında yazılanlar.,Vefeyat;Yasin Aktay,İstanbul,41.1292562,28.88335172,Yeni Şafak,mg-9,Döküman,application/pdf,tr,https://www.yenisafak.com/yazarlar/yasin-aktay/mehmet-genc-hocanin-ardindan-bir-akademi-muhasebesi-2058043,,https://digitalottomans.github.io/demo/item.html?id=9,mg-9.pdf
Osmanlı Dünyasına Bilge Bir Bakış: Mehmet Genç,Digital Ottoman Studies,,Vefatının ardından Kitap Dergisi&#39;nde hakkında yazılanlar.,Vefeyat,İstanbul,41.1292562,28.88335172,Kitap Dergisi,mg-10,Döküman,application/pdf,tr,http://www.gundogan.com/kitapdergisi/MAKALE.asp?HABERID=122,,https://digitalottomans.github.io/demo/item.html?id=10,mg-10.pdf
